,index,name,diet,period,Lived In,type,length,species,link,Start Year (Mil. Years Ago),End Year (Mil. Years Ago),Existance Span (Mil. Years)
102,102,euhelopus,herbivorous,Late Jurassic,China,sauropod,10.0m,zdanskyi,https://www.nhm.ac.uk/discover/dino-directory/euhelopus.html,154.0,142.0,12
103,103,euoplocephalus,herbivorous,Late Cretaceous,USA,armoured dinosaur,7.0m,,https://www.nhm.ac.uk/discover/dino-directory/euoplocephalus.html,76.0,70.0,6
104,104,europasaurus,herbivorous,Late Jurassic,Germany,sauropod,6.2m,holgeri,https://www.nhm.ac.uk/discover/dino-directory/europasaurus.html,154.0,151.0,3
105,105,eustreptospondylus,carnivorous,Mid Jurassic,United Kingdom,large theropod,7.0m,oxoniensis,https://www.nhm.ac.uk/discover/dino-directory/eustreptospondylus.html,165.0,0.0,165
106,106,fukuiraptor,carnivorous,Early Cretaceous,Japan,large theropod,4.2m,kitadaniensis,https://www.nhm.ac.uk/discover/dino-directory/fukuiraptor.html,121.0,99.0,22
107,107,fukuisaurus,herbivorous,Early Cretaceous,Japan,euornithopod,4.7m,tetoriensius,https://www.nhm.ac.uk/discover/dino-directory/fukuisaurus.html,121.0,99.0,22
108,108,gallimimus,omnivorous,Late Cretaceous,Mongolia,large theropod,6.0m,bullatus,https://www.nhm.ac.uk/discover/dino-directory/gallimimus.html,74.0,70.0,4
109,109,gargoyleosaurus,herbivorous,Late Jurassic,USA,armoured dinosaur,4.0m,parkpinorum,https://www.nhm.ac.uk/discover/dino-directory/gargoyleosaurus.html,154.0,142.0,12
110,110,garudimimus,omnivorous,Late Cretaceous,Mongolia,large theropod,4.7m,brevipes,https://www.nhm.ac.uk/discover/dino-directory/garudimimus.html,99.0,89.0,10
111,111,gasosaurus,carnivorous,Mid Jurassic,China,small theropod,4.0m,constructus,https://www.nhm.ac.uk/discover/dino-directory/gasosaurus.html,170.0,160.0,10
112,112,gasparinisaura,herbivorous,Late Cretaceous,Argentina,euornithopod,0.8m,cincosaltensis,https://www.nhm.ac.uk/discover/dino-directory/gasparinisaura.html,86.0,71.0,15
113,113,gastonia,herbivorous,Early Cretaceous,USA,armoured dinosaur,4.6m,burgei,https://www.nhm.ac.uk/discover/dino-directory/gastonia.html,142.0,127.0,15
114,114,giganotosaurus,carnivorous,Early Cretaceous,Argentina,large theropod,12.5m,carolinii,https://www.nhm.ac.uk/discover/dino-directory/giganotosaurus.html,112.0,90.0,22
115,115,gilmoreosaurus,herbivorous,Late Cretaceous,China,euornithopod,6.0m,mongoliensis,https://www.nhm.ac.uk/discover/dino-directory/gilmoreosaurus.html,76.0,70.0,6
116,116,giraffatitan,herbivorous,Late Jurassic,Tanzania,sauropod,23.0m,brancai,https://www.nhm.ac.uk/discover/dino-directory/giraffatitan.html,154.0,142.0,12
117,117,gobisaurus,herbivorous,Early Cretaceous,China,armoured dinosaur,5.0m,domoculus,https://www.nhm.ac.uk/discover/dino-directory/gobisaurus.html,121.0,99.0,22
118,118,gorgosaurus,carnivorous,Late Cretaceous,USA,large theropod,8.6m,libratus,https://www.nhm.ac.uk/discover/dino-directory/gorgosaurus.html,80.0,73.0,7
119,119,goyocephale,herbivorous,Late Cretaceous,Mongolia,large theropod,2.0m,lattimorei,https://www.nhm.ac.uk/discover/dino-directory/goyocephale.html,81.0,75.0,6
120,120,graciliceratops,herbivorous,Late Cretaceous,Mongolia,ceratopsian,,mongoliensis,https://www.nhm.ac.uk/discover/dino-directory/graciliceratops.html,99.0,84.0,15
121,121,gryposaurus,herbivorous,Late Cretaceous,USA,euornithopod,10.0m,notabilis,https://www.nhm.ac.uk/discover/dino-directory/gryposaurus.html,86.0,71.0,15
122,122,guaibasaurus,herbivorous,Late Triassic,Brazil,small theropod,1.8m,candelariensis,https://www.nhm.ac.uk/discover/dino-directory/guaibasaurus.html,221.0,210.0,11
123,123,guanlong,carnivorous,Late Jurassic,China,small theropod,3.0m,wucaii,https://www.nhm.ac.uk/discover/dino-directory/guanlong.html,159.0,154.0,5
124,124,hadrosaurus,herbivorous,Late Cretaceous,USA,euornithopod,9.0m,foulkii,https://www.nhm.ac.uk/discover/dino-directory/hadrosaurus.html,78.0,74.0,4
125,126,haplocanthosaurus,herbivorous,Late Jurassic,USA,sauropod,21.5m,priscus,https://www.nhm.ac.uk/discover/dino-directory/haplocanthosaurus.html,154.0,142.0,12
126,127,harpymimus,omnivorous,Early Cretaceous,Mongolia,small theropod,2.0m,okladnikovi,https://www.nhm.ac.uk/discover/dino-directory/harpymimus.html,121.0,99.0,22
127,128,herrerasaurus,carnivorous,Late Triassic,Argentina,small theropod,3.0m,ischigualastensis,https://www.nhm.ac.uk/discover/dino-directory/herrerasaurus.html,228.0,0.0,228
128,129,hesperosaurus,herbivorous,Late Jurassic,USA,armoured dinosaur,6.0m,mjosi,https://www.nhm.ac.uk/discover/dino-directory/hesperosaurus.html,154.0,142.0,12
129,130,heterodontosaurus,herbivorous,Early Jurassic,South Africa,euornithopod,1.2m,tucki,https://www.nhm.ac.uk/discover/dino-directory/heterodontosaurus.html,205.0,0.0,205
130,131,heyuannia,omnivorous,Late Cretaceous,Mongolia,small theropod,2.0m,yanshini,https://www.nhm.ac.uk/discover/dino-directory/heyuannia.html,72.0,68.0,4
131,132,homalocephale,herbivorous,Late Cretaceous,Mongolia,euornithopod,1.5m,calathocercos,https://www.nhm.ac.uk/discover/dino-directory/homalocephale.html,72.0,68.0,4
132,133,huayangosaurus,herbivorous,Mid Jurassic,China,armoured dinosaur,4.5m,taibaii,https://www.nhm.ac.uk/discover/dino-directory/huayangosaurus.html,170.0,160.0,10
